id,workload,iteration,metric,core,freq,value,units
A15_12_1,dhrystone,1,A7_power,A15,1200000,0.018,Watts
A15_12_1,dhrystone,1,A7_voltage,A15,1200000,0.763,Volts
A15_12_1,dhrystone,1,A7_energy,A15,1200000,15.327,Joules
A15_12_1,dhrystone,1,A15c_power,A15,1200000,0.103,Watts
A15_12_1,dhrystone,1,A15c_voltage,A15,1200000,0.783,Volts
A15_12_1,dhrystone,1,A15c_energy,A15,1200000,87.45,Joules
A15_12_1,dhrystone,1,A15b_power,A15,1200000,0.067,Watts
A15_12_1,dhrystone,1,A15b_voltage,A15,1200000,0.783,Volts
A15_12_1,dhrystone,1,A15b_energy,A15,1200000,57.319,Joules
A15_12_1,dhrystone,1,A15a_power,A15,1200000,0.123,Watts
A15_12_1,dhrystone,1,A15a_voltage,A15,1200000,0.783,Volts
A15_12_1,dhrystone,1,A15a_energy,A15,1200000,104.942,Joules
a15_13_1,dhrystone,1,thread 0 score,A15,1300000,2314815,
a15_13_1,dhrystone,1,thread 0 DMIPS,A15,1300000,1317,
a15_13_1,dhrystone,1,time,A15,1300000,6.620046,seconds
a15_13_1,dhrystone,1,total DMIPS,A15,1300000,1317,
a15_13_1,dhrystone,1,total score,A15,1300000,2314815,
a15_13_1,dhrystone,1,execution_time,A15,1300000,6.67846608162,seconds
a15_13_1,dhrystone,1,A7_power,A15,1300000,0.022,Watts
a15_13_1,dhrystone,1,A7_voltage,A15,1300000,0.763,Volts
a15_13_1,dhrystone,1,A7_energy,A15,1300000,16.649,Joules
a15_13_1,dhrystone,1,A15c_power,A15,1300000,0.118,Watts
a15_13_1,dhrystone,1,A15c_voltage,A15,1300000,0.808,Volts
a15_13_1,dhrystone,1,A15c_energy,A15,1300000,88.507,Joules
a15_13_1,dhrystone,1,A15b_power,A15,1300000,0.08,Watts
a15_13_1,dhrystone,1,A15b_voltage,A15,1300000,0.808,Volts
a15_13_1,dhrystone,1,A15b_energy,A15,1300000,59.717,Joules
a15_13_1,dhrystone,1,A15a_power,A15,1300000,0.145,Watts
a15_13_1,dhrystone,1,A15a_voltage,A15,1300000,0.808,Volts
a15_13_1,dhrystone,1,A15a_energy,A15,1300000,108.686,Joules
a15_14_1,dhrystone,1,thread 0 score,A15,1400000,2463054,
a15_14_1,dhrystone,1,thread 0 DMIPS,A15,1400000,1402,
a15_14_1,dhrystone,1,time,A15,1400000,6.212516,seconds
a15_14_1,dhrystone,1,total DMIPS,A15,1400000,1402,
a15_14_1,dhrystone,1,total score,A15,1400000,2463054,
a15_14_1,dhrystone,1,execution_time,A15,1400000,6.26734495163,seconds
a15_14_1,dhrystone,1,A7_power,A15,1400000,0.017,Watts
a15_14_1,dhrystone,1,A7_voltage,A15,1400000,0.764,Volts
a15_14_1,dhrystone,1,A7_energy,A15,1400000,13.084,Joules
a15_14_1,dhrystone,1,A15c_power,A15,1400000,0.126,Watts
a15_14_1,dhrystone,1,A15c_voltage,A15,1400000,0.821,Volts
a15_14_1,dhrystone,1,A15c_energy,A15,1400000,94.618,Joules
a15_14_1,dhrystone,1,A15b_power,A15,1400000,0.097,Watts
a15_14_1,dhrystone,1,A15b_voltage,A15,1400000,0.821,Volts
a15_14_1,dhrystone,1,A15b_energy,A15,1400000,72.829,Joules
a15_14_1,dhrystone,1,A15a_power,A15,1400000,0.15,Watts
a15_14_1,dhrystone,1,A15a_voltage,A15,1400000,0.821,Volts
a15_14_1,dhrystone,1,A15a_energy,A15,1400000,112.85,Joules
a15_16_1,dhrystone,1,thread 0 score,A15,1600000,2840909,
a15_16_1,dhrystone,1,thread 0 DMIPS,A15,1600000,1617,
a15_16_1,dhrystone,1,time,A15,1600000,5.379208,seconds
a15_16_1,dhrystone,1,total DMIPS,A15,1600000,1617,
a15_16_1,dhrystone,1,total score,A15,1600000,2840909,
a15_16_1,dhrystone,1,execution_time,A15,1600000,5.43975901604,seconds
a15_16_1,dhrystone,1,A7_power,A15,1600000,0.027,Watts
a15_16_1,dhrystone,1,A7_voltage,A15,1600000,0.764,Volts
a15_16_1,dhrystone,1,A7_energy,A15,1600000,17.538,Joules
a15_16_1,dhrystone,1,A15c_power,A15,1600000,0.159,Watts
a15_16_1,dhrystone,1,A15c_voltage,A15,1600000,0.878,Volts
a15_16_1,dhrystone,1,A15c_energy,A15,1600000,103.055,Joules
a15_16_1,dhrystone,1,A15b_power,A15,1600000,0.162,Watts
a15_16_1,dhrystone,1,A15b_voltage,A15,1600000,0.878,Volts
a15_16_1,dhrystone,1,A15b_energy,A15,1600000,105.386,Joules
a15_16_1,dhrystone,1,A15a_power,A15,1600000,0.166,Watts
a15_16_1,dhrystone,1,A15a_voltage,A15,1600000,0.878,Volts
a15_16_1,dhrystone,1,A15a_energy,A15,1600000,107.65,Joules
a15_17_1,dhrystone,1,thread 0 score,A15,1704000,3073770,
a15_17_1,dhrystone,1,thread 0 DMIPS,A15,1704000,1749,
a15_17_1,dhrystone,1,time,A15,1704000,4.996278,seconds
a15_17_1,dhrystone,1,total DMIPS,A15,1704000,1749,
a15_17_1,dhrystone,1,total score,A15,1704000,3073770,
a15_17_1,dhrystone,1,execution_time,A15,1704000,5.05162501335,seconds
a15_17_1,dhrystone,1,A7_power,A15,1704000,0.02,Watts
a15_17_1,dhrystone,1,A7_voltage,A15,1704000,0.766,Volts
a15_17_1,dhrystone,1,A7_energy,A15,1704000,11.779,Joules
