id,workload,iteration,metric,core,freq,value,units
a15_8_1,dhrystone,1,thread 0 score,A15,800000,1436782,
a15_8_1,dhrystone,1,thread 0 DMIPS,A15,800000,818,
a15_8_1,dhrystone,1,time,A15,800000,10.58348,seconds
a15_8_1,dhrystone,1,total DMIPS,A15,800000,818,
a15_8_1,dhrystone,1,total score,A15,800000,1436782,
a15_8_1,dhrystone,1,execution_time,A15,800000,10.6738960743,seconds
a15_8_1,dhrystone,1,A7_power,A15,800000,0.015,Watts
a15_8_1,dhrystone,1,A7_voltage,A15,800000,0.766,Volts
a15_8_1,dhrystone,1,A7_energy,A15,800000,17.411,Joules
a15_8_1,dhrystone,1,A15c_power,A15,800000,0.072,Watts
a15_8_1,dhrystone,1,A15c_voltage,A15,800000,0.7,Volts
a15_8_1,dhrystone,1,A15c_energy,A15,800000,82.804,Joules
a15_8_1,dhrystone,1,A15b_power,A15,800000,0.047,Watts
a15_8_1,dhrystone,1,A15b_voltage,A15,800000,0.7,Volts
a15_8_1,dhrystone,1,A15b_energy,A15,800000,53.847,Joules
a15_8_1,dhrystone,1,A15a_power,A15,800000,0.045,Watts
a15_8_1,dhrystone,1,A15a_voltage,A15,800000,0.7,Volts
a15_8_1,dhrystone,1,A15a_energy,A15,800000,51.699,Joules
a15_9_1,dhrystone,1,thread 0 score,A15,900000,1594049,
a15_9_1,dhrystone,1,thread 0 DMIPS,A15,900000,907,
a15_9_1,dhrystone,1,time,A15,900000,9.515083,seconds
a15_9_1,dhrystone,1,total DMIPS,A15,900000,907,
a15_9_1,dhrystone,1,total score,A15,900000,1594049,
a15_9_1,dhrystone,1,execution_time,A15,900000,9.57692599297,seconds
a15_9_1,dhrystone,1,A7_power,A15,900000,0.019,Watts
a15_9_1,dhrystone,1,A7_voltage,A15,900000,0.766,Volts
a15_9_1,dhrystone,1,A7_energy,A15,900000,20.058,Joules
a15_9_1,dhrystone,1,A15c_power,A15,900000,0.081,Watts
a15_9_1,dhrystone,1,A15c_voltage,A15,900000,0.712,Volts
a15_9_1,dhrystone,1,A15c_energy,A15,900000,84.876,Joules
a15_9_1,dhrystone,1,A15b_power,A15,900000,0.053,Watts
a15_9_1,dhrystone,1,A15b_voltage,A15,900000,0.712,Volts
a15_9_1,dhrystone,1,A15b_energy,A15,900000,55.774,Joules
a15_9_1,dhrystone,1,A15a_power,A15,900000,0.051,Watts
a15_9_1,dhrystone,1,A15a_voltage,A15,900000,0.712,Volts
a15_9_1,dhrystone,1,A15a_energy,A15,900000,53.536,Joules
a15_10_1,dhrystone,1,thread 0 score,A15,1000000,1811594,
a15_10_1,dhrystone,1,thread 0 DMIPS,A15,1000000,1031,
a15_10_1,dhrystone,1,time,A15,1000000,8.400054,seconds
a15_10_1,dhrystone,1,total DMIPS,A15,1000000,1031,
a15_10_1,dhrystone,1,total score,A15,1000000,1811594,
a15_10_1,dhrystone,1,execution_time,A15,1000000,8.49046301842,seconds
a15_10_1,dhrystone,1,A7_power,A15,1000000,0.017,Watts
a15_10_1,dhrystone,1,A7_voltage,A15,1000000,0.767,Volts
