id,workload,iteration,metric,core,freq,value,units
a15_13_1,dhrystone,1,total score,A15,1300000,2057613,
a15_13_1,dhrystone,1,execution_time,A15,1300000,2.5476808548,seconds
a15_13_1,dhrystone,1,A7_power,A15,1300000,0.4,Watts
a15_13_1,dhrystone,1,A7_voltage,A15,1300000,0.997,Volts
a15_13_1,dhrystone,1,A7_energy,A15,1300000,139.987,Joules
a15_13_1,dhrystone,1,A15b_power,A15,1300000,0.394,Watts
a15_13_1,dhrystone,1,A15b_voltage,A15,1300000,0.997,Volts
a15_13_1,dhrystone,1,A15b_energy,A15,1300000,137.764,Joules
a15_13_1,dhrystone,1,A15a_power,A15,1300000,0.104,Watts
a15_13_1,dhrystone,1,A15a_voltage,A15,1300000,1.061,Volts
a15_13_1,dhrystone,1,A15a_energy,A15,1300000,36.277,Joules
a15_14_1,dhrystone,1,thread 0 score,A15,1400000,2237136,
a15_14_1,dhrystone,1,thread 0 DMIPS,A15,1400000,1273,
a15_14_1,dhrystone,1,time,A15,1400000,2.280405,seconds
a15_14_1,dhrystone,1,total DMIPS,A15,1400000,1273,
a15_14_1,dhrystone,1,total score,A15,1400000,2237136,
a15_14_1,dhrystone,1,execution_time,A15,1400000,2.36267709732,seconds
a15_14_1,dhrystone,1,A7_power,A15,1400000,0.436,Watts
a15_14_1,dhrystone,1,A7_voltage,A15,1400000,1.009,Volts
a15_14_1,dhrystone,1,A7_energy,A15,1400000,130.946,Joules
a15_14_1,dhrystone,1,A15b_power,A15,1400000,0.427,Watts
a15_14_1,dhrystone,1,A15b_voltage,A15,1400000,1.009,Volts
a15_14_1,dhrystone,1,A15b_energy,A15,1400000,128.073,Joules
a15_14_1,dhrystone,1,A15a_power,A15,1400000,0.102,Watts
a15_14_1,dhrystone,1,A15a_voltage,A15,1400000,1.061,Volts
a15_14_1,dhrystone,1,A15a_energy,A15,1400000,30.472,Joules
a15_15_1,dhrystone,1,thread 0 score,A15,1500000,2415459,
a15_15_1,dhrystone,1,thread 0 DMIPS,A15,1500000,1375,
